2020-09-13 09:39:23 status unpacked libsemanage-common:all 3.1-1
2020-09-13 09:39:23 status half-configured libsemanage-common:all 3.1-1
2020-09-13 09:39:23 status installed libsemanage-common:all 3.1-1
2020-09-13 09:39:23 configure gcc-10-base:arm64 10.2.0-5 <none>
2020-09-13 09:39:23 status unpacked gcc-10-base:arm64 10.2.0-5
2020-09-13 09:39:23 status half-configured gcc-10-base:arm64 10.2.0-5
2020-09-13 09:39:23 status installed gcc-10-base:arm64 10.2.0-5
2020-09-13 09:39:23 configure ncurses-base:all 6.2-1 <none>
2020-09-13 09:39:23 status unpacked ncurses-base:all 6.2-1
2020-09-13 09:39:23 status half-configured ncurses-base:all 6.2-1
2020-09-13 09:39:23 status installed ncurses-base:all 6.2-1
2020-09-13 09:39:23 configure gcc-9-base:arm64 9.3.0-15 <none>
2020-09-13 09:39:23 status unpacked gcc-9-base:arm64 9.3.0-15
2020-09-13 09:39:23 status half-configured gcc-9-base:arm64 9.3.0-15
2020-09-13 09:39:23 status installed gcc-9-base:arm64 9.3.0-15
2020-09-13 09:39:23 configure libcrypt1:arm64 1:4.4.17-1 <none>
2020-09-13 09:39:23 status unpacked libcrypt1:arm64 1:4.4.17-1
2020-09-13 09:39:23 status half-configured libcrypt1:arm64 1:4.4.17-1
2020-09-13 09:39:23 status installed libcrypt1:arm64 1:4.4.17-1
2020-09-13 09:39:23 configure libgcc-s1:arm64 10.2.0-5 <none>
2020-09-13 09:39:23 status unpacked libgcc-s1:arm64 10.2.0-5
2020-09-13 09:39:23 status half-configured libgcc-s1:arm64 10.2.0-5
2020-09-13 09:39:23 status installed libgcc-s1:arm64 10.2.0-5
2020-09-13 09:39:23 configure libc6:arm64 2.31-2 <none>
2020-09-13 09:39:23 status unpacked libc6:arm64 2.31-2
2020-09-13 09:39:23 status half-configured libc6:arm64 2.31-2
2020-09-13 09:39:24 status installed libc6:arm64 2.31-2
2020-09-13 09:39:24 configure libudev1:arm64 246.2-1 <none>
2020-09-13 09:39:24 status unpacked libudev1:arm64 246.2-1
2020-09-13 09:39:24 status half-configured libudev1:arm64 246.2-1
2020-09-13 09:39:24 status installed libudev1:arm64 246.2-1
2020-09-13 09:39:24 configure libsepol1:arm64 3.1-1 <none>
2020-09-13 09:39:24 status unpacked libsepol1:arm64 3.1-1
2020-09-13 09:39:24 status half-configured libsepol1:arm64 3.1-1
2020-09-13 09:39:24 status installed libsepol1:arm64 3.1-1
2020-09-13 09:39:24 configure libattr1:arm64 1:2.4.48-5 <none>
2020-09-13 09:39:24 status unpacked libattr1:arm64 1:2.4.48-5
2020-09-13 09:39:25 status half-configured libattr1:arm64 1:2.4.48-5
2020-09-13 09:39:25 status installed libattr1:arm64 1:2.4.48-5
2020-09-13 09:39:25 configure sysvinit-utils:arm64 2.96-4 <none>
2020-09-13 09:39:25 status unpacked sysvinit-utils:arm64 2.96-4
2020-09-13 09:39:25 status half-configured sysvinit-utils:arm64 2.96-4
2020-09-13 09:39:25 status installed sysvinit-utils:arm64 2.96-4
2020-09-13 09:39:25 configure libtasn1-6:arm64 4.16.0-2 <none>
2020-09-13 09:39:25 status unpacked libtasn1-6:arm64 4.16.0-2
2020-09-13 09:39:25 status half-configured libtasn1-6:arm64 4.16.0-2
2020-09-13 09:39:25 status installed libtasn1-6:arm64 4.16.0-2
2020-09-13 09:39:25 configure debianutils:arm64 4.9.1 <none>
2020-09-13 09:39:25 status unpacked debianutils:arm64 4.9.1
2020-09-13 09:39:25 status half-configured debianutils:arm64 4.9.1
2020-09-13 09:39:25 status installed debianutils:arm64 4.9.1
2020-09-13 09:39:25 configure mawk:arm64 1.3.4.20200120-2 <none>
2020-09-13 09:39:25 status unpacked mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:25 status half-configured mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:25 status installed mawk:arm64 1.3.4.20200120-2
2020-09-13 09:39:25 configure libdebconfclient0:arm64 0.253 <none>
2020-09-13 09:39:25 status unpacked libdebconfclient0:arm64 0.253
2020-09-13 09:39:25 status half-configured libdebconfclient0:arm64 0.253
2020-09-13 09:39:25 status installed libdebconfclient0:arm64 0.253
2020-09-13 09:39:25 configure base-files:arm64 1:2020.3.1 <none>
2020-09-13 09:39:25 status unpacked base-files:arm64 1:2020.3.1
2020-09-13 09:39:25 status half-configured base-files:arm64 1:2020.3.1
2020-09-13 09:39:25 status installed base-files:arm64 1:2020.3.1
2020-09-13 09:39:25 configure libbz2-1.0:arm64 1.0.8-4 <none>
2020-09-13 09:39:25 status unpacked libbz2-1.0:arm64 1.0.8-4
2020-09-13 09:39:25 status half-configured libbz2-1.0:arm64 1.0.8-4
